Name,Email,Category,Item,Brand,Model Number ,Serial,Tag,Location,Notes
Brandon Bray,ante@gravidamaurisut.edu,vitae mauris,velit in,"vulputate,",1EE64085-0472-E91A-3039-4D4BAECC15CF,43009A54-E097-2969-CA1F-53E150D7572C,AD7A36F2-A055-D7C7-FAFF-03C7BF39C88C,GroÃŸpetersdorf,vitae diam. Proin dolor. Nulla semper tellus id nunc
Jillian Marquez,,"Quisque imperdiet, erat nonummy",enim. Etiam,Mauris,07275F42-BDF1-B7BF-1874-E3B21C4D17FC,F7AB1F1C-E3BF-166F-1359-C3A18984813D,3A96E315-AE77-52BA-7C66-F009431E6D12,Saint Louis,"vestibulum lorem, sit amet ultricies sem magna nec quam. Curabitur"
Maryam Alvarado,id@natoquepenatibus.net,"porttitor vulputate,",Vivamus rhoncus.,amet,FDEF0A16-8DDC-EAA8-14B2-429A469E52EA,FEE7C920-6DA3-B8D8-3C10-F29FB4BFDFCD,A7683AAD-90B5-F470-3AAA-672255FE80F9,Verrayes,ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque.
Xaviera Calhoun,Nam@Duis.net,laoreet lectus quis massa.,nec tellus.,dui.,D26D5C0C-9454-8E3F-54CB-B9F887BE1427,C146A0ED-82B8-92BD-D61A-4F75269A3BC6,E71CC2A3-1FEF-8286-4BFA-D43D89938DEE,KrakÃ_w,"mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec,"
Rashad Finley,mauris.elit.dictum@velturpis.org,"Fusce dolor quam,",metus. Vivamus,tempus risus.,041FC172-D5E9-159B-9701-A530077CDB31,00AB6A98-A66C-6617-F7E6-806467B8B14C,16351136-6919-76C3-259A-4A07E9F51111,Froidchapelle,"id, erat. Etiam vestibulum massa rutrum"
Ulric Nichols,dui@ultricesDuis.edu,"vel, vulputate",risus. Morbi,primis in,9072BF87-4197-8E8D-32E3-7A10EA2B1F29,A159F02C-3D4B-4CB7-A5CC-294C29E41626,2CC0F583-8470-CA35-84C6-36F7D8551FDA,Rigolet,"parturient montes, nascetur ridiculus mus. Aenean eget magna."
Tate Cruz,adipiscing.ligula@ametluctus.org,odio.,tortor. Nunc,Donec fringilla.,B50A0494-C49A-D4B7-A275-BA993CD37006,11D0D0B8-A50F-C75C-12B9-356577413248,51FB7F41-2107-2990-D51F-6E8929B018EF,Caledon,"nisl arcu iaculis enim, sit amet"
Farrah Melton,vehicula.et@maurisutmi.ca,erat nonummy ultricies,"sodales purus,",Nulla,DF147200-5A5A-15B0-EE74-0FC700E02F53,A0642D77-AAC7-0729-E90A-9AABEDA2C9B5,C856ADF9-2C48-7AFD-0D72-60D979F26BDB,Varsenare,magnis dis parturient
Blair Cummings,non@sitametnulla.com,quis accumsan,"Sed pharetra,",Curae;,BBF5603C-EC73-0FF2-A92D-AEA4984A70BD,A6E5BC04-F87F-9152-E58E-FB1D851DE58F,1ADC6FD2-7BFF-B19B-7D85-97E8B71AAF31,Jedburgh,sapien molestie orci tincidunt adipiscing.
Adam Mclaughlin,Maecenas.malesuada@Vestibulumut.co.uk,"ultrices sit amet, risus.",urna suscipit,ut,4FB798A8-6CC9-7709-2308-FD2EEAD07590,1D5D9ACB-14DA-9F6F-A49A-873A0FA726BE,A0C2ADED-FDE7-B7B1-7A3A-88669B8148A5,Pau,venenatis
Gregory Russell,faucibus@Duisgravida.ca,mi. Duis risus,vulputate ullamcorper,in lobortis,77E50AFF-A531-095B-1198-051ED601031E,6B557381-1BB9-EC7C-F1BF-08F1747FE6C1,FF3A6A94-5AB3-D630-F795-C5E4D16825C9,Augusta,in
Donovan Carter,lectus.Cum.sociis@arcuSed.edu,a tortor. Nunc,lobortis tellus,mattis,FD39F277-7D01-86FF-9AD8-DED5DD1CA67F,453A0D89-BAA1-CCD6-E621-42C5543B2124,638B7871-EEDA-61DC-7617-DA0E418758C2,Sigillo,"nibh enim, gravida sit amet, dapibus id, blandit at,"
Genevieve Sullivan,Nulla.tincidunt.neque@ridiculusmus.net,cubilia Curae; Phasellus,pede ac,"hendrerit a,",BF705C5A-532E-19B2-25FB-9734BE622768,7F47EAAB-BA4C-74E1-4EFE-788E599A673E,B46D3DCF-1935-9C90-30F2-7DEB9B6EF27C,Huelva,Nam tempor diam dictum sapien. Aenean massa. Integer
Addison Hickman,congue@Ut.co.uk,Aliquam,ac mattis,ante bibendum,394B16CA-4DAA-0B2B-F2C9-E86CA86B49DC,FC689B22-F464-9F75-0C35-78D6CD7BA134,9BA9419E-3D97-21C2-7D9D-02B6EED98A10,WÃ¶rgl,"erat, in consectetuer ipsum nunc"
Tarik Tillman,eget@lectus.org,fringilla cursus,morbi tristique,dignissim. Maecenas,2B917A1B-552C-5B11-4E26-15B69677AC62,6F27188A-E0F2-B3EC-4343-D97346CC52B4,7F3D11FA-1DF1-850D-1432-BCD1D98291A5,Nivelles,quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula.
Zenia Baird,urna@Innecorci.co.uk,adipiscing elit. Etiam,Donec tincidunt.,"felis,",C11DC601-C76E-201B-E3F6-A3CC3524CAC0,D6952DE1-1F7D-4DF9-D18D-78D2CC8EEFEA,7B71D793-DBF3-573E-6F67-E75E22997561,Kï¿_nigs Wusterhausen,ornare. In faucibus. Morbi vehicula. Pellentesque
Scarlet Conrad,tincidunt.congue.turpis@ipsum.co.uk,in lobortis,euismod est,"sit amet,",1808E3F8-7889-2AFD-A874-C2AB0FB14D70,FA2AC9AE-450F-3D0D-017B-AB9BDBD78E08,1873A457-0160-66DE-86DB-B32285DFEB21,Minna,est
Alec Marks,sed.consequat.auctor@iaculisquis.ca,neque,imperdiet ornare.,vitae purus,7A21235A-FD01-1CC3-0097-336F3EE01665,F0B6A840-6211-BE49-8401-756D0BD5F7AB,8A1FB112-D60F-641C-6083-4B21B19B08C5,Cork,eu sem. Pellentesque ut ipsum ac mi
Chelsea Donaldson,risus@Duis.edu,tellus,"sed, hendrerit",vehicula aliquet,240C7A94-B919-4970-602D-58861F386015,F668725C-23A4-6422-856F-4CC04C2D31AC,17252A7E-4C71-F168-603E-2691CF1608E7,Weymouth,ultricies sem magna
Kamal Herman,lorem.sit@lectuspede.com,"magnis dis parturient montes,","a, malesuada",sed,00D29580-A14E-4821-075F-6144841D8E1C,CD4D4D85-621A-A57D-A716-4DD3D2E956EF,D0135C4D-8810-E1DF-4970-E697795A2E72,Liverpool,tempus mauris erat eget ipsum. Suspendisse sagittis.
Aurelia Gross,sem.ut.dolor@eratnonummyultricies.net,faucibus,Donec dignissim,Nam,50D4BB83-C1F3-2EE3-E608-78731C31C9D2,C43A5C27-0659-FC1E-FD2C-56AC0CCEACA0,845A797C-A809-742F-A65D-4AF99697972C,Estevan,pede. Cras vulputate
Kaseem Cox,velit@eu.ca,"sapien, cursus in, hendrerit",ut lacus.,"posuere, enim",0D919D9F-8B89-8DD2-CFEA-CCF512EAC600,2902C296-4DC3-E13B-0EB7-9EB9615405A4,D84DE1D3-E14B-D2C4-2330-1C8D19093DE1,Overland Park,Ut sagittis lobortis mauris. Suspendisse aliquet
Cassady Decker,a.feugiat@ipsumCurabiturconsequat.org,vel,Morbi quis,Fusce mollis.,4C3630F8-84A3-2192-D37E-922C485DF271,D7452EA9-117D-2FE5-C6D9-077A1C71053B,0F5CBFD5-102E-25CA-D8F3-E5BA48B2838F,Staï¿_furt,eget
Danielle Howard,mus.Aenean@Aliquamnec.org,aliquet magna,"eu, eleifend",vitae,75090114-A2EC-5A24-B953-98660ADF266E,6DF76F2F-C8B0-1238-8D6F-DAC7FE95B083,225DABDC-07FA-C9BD-3562-24EAC21350CF,Broechem,"et, lacinia vitae, sodales at, velit."
Elijah Johnson,molestie.orci.tincidunt@euismodmauris.co.uk,vitae diam.,tempus mauris,"consequat auctor,",4F4437F4-7331-F34A-6ABF-5BD75F2F310B,A429D565-90E6-F21A-E6B1-C02952607A40,4EBB59B5-EB82-BDA4-C6D1-EAFBBD157875,Yaxley,"lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy"
Yvette Franks,est.Nunc@Duisami.com,"faucibus leo,","eu, placerat",Pellentesque,E5D648EE-0204-D32C-D628-8F9BC03B97D3,768A8DF4-448C-140F-A6AD-DEE924CAF607,076BFB89-DDDA-D051-36A0-34884F725B3F,JoÃ£o Pessoa,"accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate,"
Garrison Finch,orci.in@afacilisis.net,Nunc,"vitae, erat.",scelerisque mollis.,0534661D-5368-19E6-6B55-C7AC42072D65,1EF7E457-D20A-D1F9-FF3A-391C733919E9,4FF8F344-696C-FC58-28F4-A8D511C52043,Villers-Poterie,nonummy ipsum non
Lunea Underwood,tempor.diam@in.com,Proin vel arcu eu,Proin nisl,diam.,8E819261-ADC2-6D4B-354B-9A401DE418B5,743ABBD6-DEBD-1AEA-B3BC-CF4B78AF901A,D3265D5C-D954-DC73-F033-6AE0265CB847,Gallicchio,"elementum, lorem ut aliquam"
Armand Klein,arcu.Vivamus@vitaerisusDuis.net,orci luctus et ultrices,lorem ac,nunc,9AE8CD74-6E82-91AD-E3E1-B263B45B8855,2AB9A671-1EBE-2824-122A-940FF8A3F3A8,30614602-1F6F-C5D8-EE2B-C75120191C42,Dingwall,eget mollis lectus pede
Steel Burgess,dolor@pedenecante.net,nec urna,cursus. Integer,ultricies,4BE6FF80-6D87-1B1F-0135-FD3557F877E9,D659D229-C4E7-F21E-945E-D3DEBA281143,59622BB7-C7BF-8D5E-470C-B9805EB9779C,Richmond,"sed dolor. Fusce mi lorem,"
Tallulah Wiley,ultrices.sit@velit.net,ultrices,augue porttitor,arcu.,7AE904D1-0755-E725-ED6A-0354C15F4C91,988EED40-51A3-F313-6346-8390BB78ECE6,F1E2B64A-AF19-8EC9-10C2-6897C2544D02,Burns Lake,"vitae, orci. Phasellus"
Leo Slater,sodales.nisi@Donecatarcu.co.uk,non ante bibendum ullamcorper.,Proin vel,consectetuer,2DB9FDFF-EED7-7EF8-0D17-D9A1DF70FCC7,D4C812F3-0CD8-2091-B299-C15A61D75471,61FBE6C6-F531-E4ED-68AD-39906502856A,Las Vegas,Mauris
Zane Shelton,,felis. Nulla tempor augue,"at, libero.","id,",B105DA90-60E6-4251-9FE7-5116EB818AB4,829444B3-100F-53E9-71A6-A760D48B86D8,10BE1185-03CF-F9BD-440D-93E39510D81E,Pointe-aux-Trembles,nascetur ridiculus mus. Aenean eget magna.
Kadeem Vega,neque.non.quam@duisemper.edu,nulla.,Vivamus non,"in,",D2C2757B-5BC3-62DA-276F-18752F2BB57D,6B3E0EA8-BC85-8761-E097-1FD600DEC81C,ACA78880-236D-8821-ABA4-DFA2F453050F,Rotterdam,"pretium et, rutrum non, hendrerit id, ante. Nunc mauris sapien,"
Dara Munoz,Donec@nisi.co.uk,iaculis odio. Nam,"quam, elementum",Proin non,9955AB46-0541-3280-97EB-7269F8C8CDA1,0F28DDFD-D137-B7E5-8499-BBEC033089DB,9EE33F9D-9F1D-C0FB-4527-A6FA0E713035,Laino Castello,"mi felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras"
Britanni Castro,,ante lectus convallis,Cum sociis,netus et,1C268861-B6B8-6B4F-0E8A-E32935A4B9EE,BCAAF060-9B45-72C9-E54D-461852404ACD,01A4F9C8-0448-FD1B-57C3-F0E3AD61D9AE,Ottawa,rhoncus. Nullam velit
Amery Guy,ligula.consectetuer@Duiselementum.net,vel arcu.,tortor. Integer,"sit amet,",4F26FF03-932C-32C5-B83B-281031B9732D,8A34A5F7-1879-2599-21E1-9A917491BE93,FBAD6E31-41B3-D192-8B2A-0CAFBBEC0CA1,Coventry,semper cursus. Integer mollis. Integer tincidunt aliquam
Kelsey Boone,Aliquam.erat@arcuiaculis.co.uk,ac mi,lectus justo,diam vel,B141D616-D4A8-D6EC-A08D-1CD873A8A504,2BD7A5FE-86F9-DBD9-24E8-081DAEF1DFE2,2C4B83B3-F977-4105-B967-5EAC0A589380,Campotosto,"risus. In mi pede, nonummy ut, molestie"
Fatima Kramer,,nisi sem,orci luctus,diam eu,66448BBE-D8C0-6BA4-4D01-13909ECB3798,997041BB-9EF3-FED4-72B1-B725A56BE02B,DBE25AFA-F7AB-5082-C507-7AF8DFEF6094,Bajardo,ipsum primis in faucibus orci luctus
Jakeem Norris,,Proin mi. Aliquam,lobortis ultrices.,Donec non,A2DCAE82-10BE-4340-5D72-2A3BBEC45563,D7FD2555-D316-60F5-6A38-1587273BDDB8,FCBC5334-8D70-4780-DBE5-48463207D073,Aylesbury,sem magna nec quam. Curabitur vel lectus. Cum sociis
Whilemina Reeves,eget.nisi.dictum@musDonecdignissim.org,nisl. Maecenas,semper. Nam,magnis dis,A8593B1A-2D01-2CF3-BC31-33D62E3AE375,B5E04355-79FC-7B8A-5911-4FE80CD916A9,498E0B24-7CB6-3681-9F60-C812ADFC89AA,Ghislarengo,purus
Summer Rodriguez,risus@aliquetmagna.net,"adipiscing elit. Aliquam auctor,",et tristique,pulvinar,F5B3A17B-90FB-5E75-41FA-7337CC5A82A0,464CFD0B-1AEB-94DD-AA83-B90E6F68D15A,8DE52DE4-CD68-25E3-46F6-D24A293B687D,Waitakere,"cursus et,"
Stephen Owen,,mauris a nunc.,sagittis semper.,Sed nunc,DC8DAC04-79C2-AC11-B1AB-26E193558D7B,5B2F0ABA-3D95-F1CE-3E97-9A458EB1EAFE,91FF7C0B-3066-C21D-FE90-C8C4DBCF2B30,Varendonk,"risus,"
Leo Hernandez,massa.rutrum.magna@euismod.net,eu turpis. Nulla,dictum magna.,tincidunt,1EDFA44A-2FBC-2ABE-A80F-D9F010E13964,98C04402-FB96-4FC0-2C24-FB9BC1FC41A2,9BE16A6C-8B95-AE2A-97E2-8C7B07241A40,Somma Lombardo,mollis. Duis sit amet
Francis Chambers,Cras@magnased.com,orci. Ut,aliquet. Phasellus,"ligula elit,",5BE6CD9A-76E8-3C8B-ED48-290C0D09A4DF,6E38DD9C-A362-C9E6-95C1-1257EC9C09E1,AD659302-F2F5-85F3-4612-0F1A32500314,Rocca Santo Stefano,Cum sociis natoque penatibus et
Omar England,,"sed,",Pellentesque tincidunt,at,D7C96D4D-65EA-657E-9127-48A0E4940C91,5D4CA56E-3331-99B6-37F1-0646B39270BF,785B5890-2D50-EBA4-919D-EEE8690D7B4F,Solre-Saint-Gï¿_ry,odio vel est tempor
Blaine Mckay,ornare.lectus@Praesent.net,"nulla ante,",dui. Cras,amet diam,6D0ED7A6-C785-A640-1893-78F4B977E649,9C665A0D-B8B8-6AFE-CE55-1F4F184DBC99,E0020FEF-FADD-3640-E3DD-9EDDE92EFCF0,Leugnies,purus mauris a nunc. In at pede. Cras vulputate velit
Rudyard Cannon,volutpat.Nulla@Sed.org,dolor.,"erat, in","Integer vulputate,",5CE23AB9-D4A8-2811-D675-94372EC48F5B,C3E4F5D5-EFB2-AA6C-AC1D-931A77604FB1,032579DC-DD66-DD75-004D-237A955CC885,BraganÃ§a,non nisi. Aenean eget metus. In nec
Kermit White,in.consectetuer.ipsum@eliteratvitae.ca,nisi. Cum sociis natoque,sit amet,eros.,8A774B28-51C2-F721-5A98-EBE7D78691B3,E12A6D39-7608-D53D-FB2B-1F73CD216A6B,3F25A153-3D73-F6D1-C250-0E138DDBF803,Auxerre,vehicula risus. Nulla eget metus
Ian Welch,nec@famesacturpis.edu,"sed consequat auctor,",Donec tincidunt.,"consectetuer, cursus",C816D208-D120-8542-9B3A-210FC17EB8CB,CCFCE8D5-317B-5FF3-1D43-A17E2CF8F5E2,F7281F4D-B42A-BCD1-E294-CE73FD3F96D8,JouÃ©-lÃ¨s-Tours,gravida. Aliquam
Cade Jimenez,ac.fermentum@nibh.org,Nulla eu neque,varius. Nam,nunc.,38D39394-2416-2DB7-AD7A-8F26DF00BAA5,A93A5E84-1CA4-44BE-BCDD-FA63B8245EED,CA1E2495-9CA9-1118-6CFA-DF2D76D4715A,Piï¿_trebais,"ante blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci"
Melanie Brooks,magna.Lorem.ipsum@tellusjusto.ca,urna,"facilisis non,",feugiat metus,D8951F6B-483F-5C7E-1D67-FF8DE47AC9F8,0E7CEE4D-D436-4462-E1F5-417424B4354E,8E5BB87B-2AF4-3ADE-DA44-CDA19423C6C4,Juneau,"mi tempor lorem, eget mollis lectus pede et"
Chava Sweet,porttitor@magnaSuspendissetristique.org,sit,Vestibulum ante,pharetra,E973DD5F-7668-BEFD-15FD-ED9AFD7CC8EC,FD2836C2-6B5B-03D8-89C0-2755EE935F94,CFC748C9-2432-7D79-69BD-3CBDF9253984,Huntsville,scelerisque dui. Suspendisse ac metus vitae
Tallulah Boyd,fermentum@sodaleseliterat.net,Cras dolor,"congue a,",leo elementum,1EB81F77-71F9-9873-A8BA-E0C254778865,93F2F152-FD85-074D-9D8B-A15C42FA6E72,4637204A-98CA-1A3A-BAD1-518BABAABD09,Columbus,interdum.
Samuel Bonner,turpis.egestas.Aliquam@torquentper.net,risus. Nulla eget metus,tristique senectus,ac,922EA557-5322-B04A-C241-90644FD36264,83B8CDA1-B053-7065-65CB-B27BF6B2558D,32706292-BB63-A819-4B86-CBE074768D6A,Moio Alcantara,"dis parturient montes, nascetur ridiculus mus. Proin vel"
Fitzgerald Whitfield,vel@Quisque.net,orci. Donec nibh. Quisque,Vestibulum accumsan,eu,409D1A89-AF8E-B4F1-E406-0456D7797D27,1F8AF229-1E01-39C4-14D6-38BDBFA38CDC,5E711161-4B63-6F0B-EF92-73F18FD2BF69,Baracaldo,tempor bibendum. Donec
Declan Cooke,Proin@Duissitamet.co.uk,"vel, vulputate eu,",Nulla eget,interdum.,CAB539F1-030D-AA34-4AE4-107493E22C06,6E30C2A3-2C11-7A47-1434-EAC857226F21,53789B1F-C8D2-7F61-8B2E-5C663436509B,Eksaarde,"tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a"
Buckminster Flores,euismod.in@dolorQuisque.org,"Duis risus odio,","cursus a,",quis,E3904B3D-A3D8-0E48-B608-E5FFA0F306A4,92635116-5E4F-93A0-99FD-BDE58F70C537,13917349-B53E-D81C-0D43-E87496EE50C7,Burns Lake,Donec sollicitudin adipiscing
