Full Name,Email,Username,Item name,serial number,Category,manufacturer,purchase date,purchase cost,purchase order,order number,Licensed To Name,Licensed to Email,expiration date,maintained,reassignable,seats,company,supplier,notes
Brennan Danielski,stomasicchioa@a8.net,stomasicchioa,Rosuvastatin calcium,b4ee3922-378c-4131-874f-8ebc5d280bc5,Object-based content-based secured line,"Ledner, Torphy and Schmitt",02/26/1986,$17.12,90269,401008001-9,Steffi Tomasicchio,stomasicchioa@irs.gov,12/13/2016,false,sometimes,49,"Mueller, Ernser and Smitham","Lemke, O'Kon and Hills","Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
Melody Harbidge,bgoomsb@github.com,bgoomsb,"fluocinolone acetonide, hydroquinone, and tretinoin",01ec85ac-5473-4ee0-a988-0864dfd6722d,Vision-oriented bifurcated system engine,"Farrell, Treutel and Haag",01/14/1985,$56.03,83323,433717940-2,Becki Gooms,bgoomsb@tmall.com,09/17/2016,false,true,32,Sawayn-Larson,"Nolan, O'Keefe and Wiza","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
Winifred Clough,tchiversc@over-blog.com,tchiversc,"Avobenzone, Octocrylene, Phenylbenzimidazole Sulfonic Acid",8bbc431f-b571-4912-9cc6-64c08512f1f2,Cloned 3rd generation function,Harvey-Hickle,11/05/2016,$45.82,76764,733010158-3,Tan Chivers,tchiversc@blinklist.com,01/22/2016,true,NO,73,O'Connell-Klocko,Nikolaus-McGlynn,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
Hermine Vischi,tdreusd@mashable.com,tdreusd,BENZALKONIUM CHLORIDE,97e50f8b-270f-4d67-b191-1e015096d472,Compatible encompassing matrix,Bernier and Sons,04/14/2014,$97.46,78245,392918422-2,Teddi Dreus,tdreusd@wordpress.com,02/16/2016,false,no,92,"Renner, McCullough and Walsh","Collier, Schuster and Block","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
Georgina O'Cullinane,gsupplee@dmoz.org,gsupplee,PHENYLEPHRINE HYDROCHLORIDE,e1d8e28c-d543-42db-a7b6-cb1128a8effd,Synergistic optimal orchestration,Crist Inc,05/13/1987,$15.81,59115,712672732-1,Grace Supple,gsupplee@geocities.jp,05/04/2016,true,TRUE,39,Weber LLC,Schuppe-Runolfsdottir,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
Malory Charlotte,stemplarf@networkadvertising.org,stemplarf,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",23f475d3-74a5-43eb-8cd9-345f6ddfb423,Customer-focused optimizing product,Ruecker-Zemlak,09/14/1981,$44.86,21142,438762010-2,Sigfried Templar,stemplarf@buzzfeed.com,04/02/2016,false,NO,53,Graham-King,Collier LLC,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
Nat Overthrow,jkiendlg@nasa.gov,jkiendlg,Isopropyl Alcohol,4f40fa12-f799-4029-8a30-71aca4fab9be,Extended 3rd generation firmware,,12/14/2014,$52.86,,339064626-4,Jonathon Kiendl,jkiendlg@vkontakte.ru,07/07/2016,false,true,29,,,
Tana Middleditch,osheardh@drupal.org,osheardh,OCTINOXATE OCTISALATE TITANIUM DIOXIDE,23b40848-16fb-4023-a94b-5be44c080a88,Ameliorated needs-based data-warehouse,Reichert-Ebert,12/27/2010,$89.06,67203,061661177-3,Obed Sheard,osheardh@linkedin.com,08/25/2016,false,,2,O'Connell Group,"Wolff, Wehner and Oberbrunner","Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
Giffer Tarling,vbasterfieldi@yelp.com,vbasterfieldi,Hydralazine Hydrochloride,1fb3906f-8730-4dda-b8b7-896fdf092c4a,Streamlined dynamic hardware,,10/15/2005,$20.71,,433426291-0,Victor Basterfield,vbasterfieldi@guardian.co.uk,09/08/2016,false,YES,79,,,
Doug Penquet,karblasterj@fastcompany.com,karblasterj,Homeopathic Liquid,dcc764ec-011b-4fc1-abd3-e360089581b4,Ameliorated client-driven secured line,Hills and Sons,01/17/1995,$48.64,38562,003915810-1,Korey Arblaster,karblasterj@dyndns.org,07/17/2016,true,true,69,"Smith, Corwin and Schroeder",Goyette-Goodwin,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
Tiphanie Witton,selsayk@mtv.com,selsayk,oxybutynin chloride,aad1618a-3d49-46d7-90da-c19503f927f8,Inverse mission-critical model,O'Keefe Group,03/06/1984,$78.97,80346,255771806-8,Stefanie Elsay,selsayk@tinyurl.com,01/22/2016,false,,6,Spencer-Torp,Ullrich Inc,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo."
Gibby Biford,bemblinl@webnode.com,bemblinl,Acyclovir,e40d7183-eebe-47c6-9ec6-e54c36a80096,Profit-focused incremental orchestration,Buckridge Group,,$46.88,56260,426095673-6,Bron Emblin,bemblinl@walmart.com,08/28/2016,true,no,94,Zemlak-Kreiger,Mante-Hessel,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
Hymie Cameron,vdallonm@eepurl.com,vdallonm,losartan potassium,bf6a7eef-d6a5-4d06-ab63-631841deb014,Enhanced mission-critical functionalities,,03/25/2003,$85.19,,966275591-8,Venus Dallon,vdallonm@so-net.ne.jp,11/04/2016,false,yes,6,,,
Jeanette Clowes,bhartlandn@over-blog.com,bhartlandn,Benzalkonium Chloride,e5dbc5e2-bd36-48c4-93a6-2002fa82e38f,Assimilated tangible functionalities,"Grady, Bernhard and Yost",12/02/1994,$53.96,45800,089164796-1,Brandtr Hartland,bhartlandn@indiatimes.com,05/30/2016,true,NO,33,Schmeler-McKenzie,"Moen, Purdy and Schultz","In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus."
Diane Larmet,tallabartono@is.gd,tallabartono,ASARUM EUROPAEUM,db26726d-02d7-46de-9fef-72537b8f5e73,Centralized 24 hour data-warehouse,"Altenwerth, Wuckert and Feest",11/02/1999,$32.31,39634,983426091-1,Tremayne Allabarton,tallabartono@ca.gov,08/15/2016,true,no,26,"Beahan, Koch and Heidenreich",Kirlin-Bruen,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
Alley Shyre,bdurbridgep@soup.io,bdurbridgep,loperamide HCl,9f659b3d-3ca7-442b-b9f9-85df21738d20,Customizable stable core,Weimann Inc,,$47.90,73216,483676849-7,Bridget Durbridge,bdurbridgep@dedecms.com,07/20/2016,false,TRUE,13,"Mosciski, Wolf and Bruen",Will Group,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
Karine Philipard,amcilwraithq@so-net.ne.jp,amcilwraithq,Nifedipine,f8e28161-ee5c-4e90-9276-8928d8a1fe45,Re-engineered clear-thinking instruction set,"Kiehn, Auer and Cruickshank",10/13/1994,$29.88,95585,584880185-1,Annabal McIlwraith,amcilwraithq@360.cn,06/16/2016,true,sometimes,57,Bauch and Sons,Hartmann Inc,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
Tate Beckson,hcordenr@theglobeandmail.com,hcordenr,NITROGLYCERIN,23b9128a-080d-40f1-bc9d-ed9f35d15c63,Virtual solution-oriented benchmark,"Ruecker, Hilll and Dicki",06/23/1999,$83.48,11095,779580200-1,Hercule Corden,hcordenr@go.com,02/07/2016,true,yes,72,Bahringer and Sons,Aufderhar-Hudson,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
Davide Garrioch,abeacocks@wikimedia.org,abeacocks,PYRETHRUM CINERARIIFOLIUM,348dc629-504f-4266-9d12-93ec1a51b5de,Vision-oriented coherent standardization,,12/04/2000,$32.19,,836520830-X,Adrianne Beacock,abeacocks@ibm.com,03/10/2016,true,,13,,,
Johny Toll,wleveringtont@live.com,wleveringtont,Oxycodone Hydrochloride and Acetaminophen,a8e9517c-eb63-4743-8eaf-11fe9f76dc60,Multi-lateral next generation archive,Wiza-Haley,04/22/2004,$0.41,21378,607407045-8,Wallache Leverington,wleveringtont@skyrock.com,05/13/2016,false,TRUE,23,"Steuber, Hoppe and Bruen",Rempel Inc,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
Anne-corinne Curless,cstrydeu@google.com,cstrydeu,Atorvastatin Calcium,45d86ea6-0012-4970-bba3-6432f03553d6,Sharable 3rd generation forecast,"Rowe, Cartwright and Wiza",06/07/2003,$55.55,88475,970951097-5,Coral Stryde,cstrydeu@amazon.de,07/01/2016,false,sometimes,43,Balistreri LLC,Wolf-Torphy,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
Norine Brakewell,ccathesyedv@seattletimes.com,ccathesyedv,"Gum, Sweet Liquidambar styraciflua",15741b10-c48b-455e-b225-5020da01a93b,Customer-focused optimal system engine,Hayes Inc,01/02/2011,$92.63,48656,236374986-3,Carolina Cathesyed,ccathesyedv@amazon.com,05/15/2016,true,yes,60,Botsford-Rodriguez,"Stiedemann, Kemmer and Brown","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
Bessy Ingerfield,rifflandw@networksolutions.com,rifflandw,GLYCERIN,316812d7-41ff-42aa-8d1a-ffc6befda3b0,Seamless secondary emulation,Wilderman-Zemlak,05/02/1983,$78.78,95469,169865158-9,Raine Iffland,rifflandw@cam.ac.uk,04/18/2016,false,TRUE,59,Reynolds Group,Rodriguez-McClure,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
Kerstin McGrill,fsteinx@cafepress.com,fsteinx,Aspirin,0a14ff52-1d8c-450e-86a9-cc2069a4213d,Triple-buffered regional analyzer,"Hauck, O'Hara and Dibbert",07/13/2008,$88.52,69629,236206999-0,Farah Stein,fsteinx@disqus.com,02/18/2016,true,true,86,Haag-Bailey,Rau LLC,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
Harmonia Scoates,sniavesy@printfriendly.com,sniavesy,ceftazidime,a82f197c-f1ac-4d02-82be-3968427b1bb4,Customer-focused analyzing productivity,Ankunding Group,09/05/2008,$42.54,12643,218498131-1,Sloane Niaves,sniavesy@forbes.com,06/30/2016,true,false,4,"Donnelly, Pfeffer and Roberts","Kuvalis, Lubowitz and Zboncak","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
Ringo Jeffs,gdoylyz@hostgator.com,gdoylyz,"Piperonyl butoxide, Pyrethrum extract",a8f42a80-444a-4bcb-a7e9-38ded2c702c2,Streamlined leading edge groupware,Maggio and Sons,05/13/2000,$74.67,67907,190797448-2,Gene D'Oyly,gdoylyz@xrea.com,08/04/2016,false,false,2,Kozey-Romaguera,Kovacek-Lebsack,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
Lew Kimmerling,ctarbatt10@webmd.com,ctarbatt10,Allspice,6e358247-071f-478a-8452-28159a9f6da0,Right-sized logistical focus group,"Lakin, Kohler and Rogahn",08/10/1984,$28.33,46894,094697521-3,Charity Tarbatt,ctarbatt10@theguardian.com,04/21/2016,true,YES,57,Gislason-Murray,Gerhold LLC,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
Zorana Clewett,emcgettigan11@tamu.edu,emcgettigan11,"Acetaminophen, Guaifenesin, Phenylephrine HCl",ac38aa40-9e5a-4842-8a56-aabae234d828,User-centric zero defect budgetary management,Graham Inc,05/02/1998,$76.28,43880,258048655-0,Ethelin McGettigan,emcgettigan11@reference.com,02/06/2016,true,YES,29,Powlowski Group,"Kunze, Jakubowski and Tremblay",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
Wilburt Worrell,mdealy12@moonfruit.com,mdealy12,Nadolol,20e2897c-a8f4-4e33-985a-5de751fa675f,Cross-platform 3rd generation solution,Mayert-Jacobs,06/20/2003,$90.84,69931,295626053-7,Mamie Dealy,mdealy12@about.me,09/10/2016,false,false,56,Baumbach-Rolfson,"Heidenreich, Harris and Halvorson","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
Avie Barnbrook,imordan13@ucsd.edu,imordan13,GlyBURIDE,78d9f721-6a6f-4b61-9f16-f920330bb413,Progressive transitional parallelism,,09/05/1987,$42.02,,829075761-1,Isa Mordan,imordan13@t.co,09/02/2016,false,NO,53,,,
Godfree Micheli,mbonhomme14@cdc.gov,mbonhomme14,Furosemide,8b1cf256-2e75-47d0-9ef1-bd05a7a8aa40,Phased even-keeled moderator,Rath Inc,10/21/2007,$80.18,57057,482496005-3,Marty Bonhomme,mbonhomme14@yelp.com,11/27/2016,false,false,46,Mertz-Jast,Hermann and Sons,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Candida Meedendorpe,ostallworthy15@uiuc.edu,ostallworthy15,Octinoxate and Titanium Dioxide,fdffc27d-b625-4b4c-a037-7225377bb942,Object-based asymmetric migration,"Medhurst, Homenick and Marquardt",01/06/2007,$35.20,18641,456756372-7,Orsola Stallworthy,ostallworthy15@wordpress.com,06/10/2016,false,TRUE,56,"Sanford, Oberbrunner and Stracke",Schulist-Senger,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
Dotti Fearey,pstanners16@umich.edu,pstanners16,Temazepam,87592e58-5628-4d38-a3ae-fb06df901777,Adaptive well-modulated local area network,Murray Group,01/12/1994,$66.92,70036,393533011-1,Paolo Stanners,pstanners16@hugedomains.com,06/12/2016,false,no,69,Crist and Sons,Moore and Sons,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
Arabela Coneybeare,ccrolla17@foxnews.com,ccrolla17,Lorazepam,1b423a53-d014-4648-9f64-db4807525c2f,Synergistic logistical Graphic Interface,Moore and Sons,06/05/1995,$52.73,14746,087846643-6,Cele Crolla,ccrolla17@reverbnation.com,12/14/2016,false,true,56,Aufderhar-Mann,Sauer-Carter,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Lewie Fancutt,gnewdick18@diigo.com,gnewdick18,"Aconitum napellus, Asafoetida, Chamomilla, Crocus sativus, Hyoscyamus niger, Ignatia amara, Sumbul, Valeriana officinalis,",49ee5fa4-d441-4d36-8708-29a394044fd3,Fundamental zero administration moderator,O'Kon-Pfannerstill,01/16/2008,$7.55,42229,546659697-3,Gerry Newdick,gnewdick18@t-online.de,08/30/2016,true,true,91,Howell-Schowalter,"Huel, Walker and Blanda",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
Farleigh Craisford,kfilippi19@sohu.com,kfilippi19,"Aconitum napellus, Apis mellifica, Arnica montana, Bellis perennis, Bryonia, Calendula officinalis, Chamomilla, Cistus canadensis, Clematis vitalba, flos",e5a134ef-5a83-42da-a695-2ece98455030,Re-engineered executive pricing structure,,10/05/2013,$80.46,,830372513-0,Kikelia Filippi,kfilippi19@purevolume.com,01/11/2016,false,,37,,,
Cilka Risdall,agrogan1a@digg.com,agrogan1a,PILOCARPINE HYDROCHLORIDE,b13bcb71-4950-4e7b-98ff-120c07ff0a16,Extended reciprocal standardization,Sporer and Sons,08/01/1993,$99.99,11073,839726250-4,Antoni Grogan,agrogan1a@hubpages.com,12/29/2016,true,FALSE,31,Fahey and Sons,Herman-Prohaska,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
Leon Feckey,lculshaw1b@about.me,lculshaw1b,ZONISAMIDE,d006b259-bc10-4c6c-aca2-3cdc5957bf90,Reactive cohesive website,Johnson Group,,$75.72,19200,008549857-2,Lynelle Culshaw,lculshaw1b@yellowbook.com,08/13/2016,false,TRUE,55,McLaughlin Group,Fadel-Botsford,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Lee Barlace,psanja1c@npr.org,psanja1c,Not applicable,44b4441c-c659-4b37-9aed-b6081030e770,Realigned 6th generation structure,Weimann Inc,08/22/1983,$65.31,45540,207737343-1,Pooh Sanja,psanja1c@tinypic.com,03/01/2016,true,,45,"Beer, Wehner and Bode",Fritsch-Pollich,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus."
